Potra	Potri	AT_best_hit	AT_Gene_Names	AT_description
Potra2n1c3845	Potri.001G456500	AT2G17410	ATARID2	ATARID2
Potra2n1c3846	Potri.001G456600	AT5G63870	ATPP7	ATPP7
Potra2n1c3847	Potri.001G456700	None	None	None
Potra2n1c3848	Potri.001G456800	AT4G35460	ATNTRB	ATNTRB
Potra2n1c3849	Potri.001G457000	AT1G76490	ATHMG1	ATHMG1
Potra2n1c3850	Potri.001G457201	AT5G65950	ATROG2	ATROG2
Potra2n1c3851	Potri.001G457300	AT1G79080	None	AT1G79080
Potra2n1c3852	Potri.001G457550	AT1G04390	None	AT1G04390
Potra2n1c3854	Potri.001G457700	AT5G56510	ATPUM12	ATPUM12
Potra2n1c3855	Potri.001G457800	AT1G79090	ATPAT1	ATPAT1
Potra2n11c22586	Potri.001G457900	AT1G56050	ATENGD-2	ATENGD-2
Potra2n1c3856	Potri.001G457900	AT1G56050	ATENGD-2	ATENGD-2
Potra2n1c3857	Potri.001G458000	AT3G12955	ATSAUR74	ATSAUR74
Potra2n1c3858	Potri.001G458200	AT5G16930	ATSBA2	ATSBA2
Potra2n1c3860	Potri.001G458400	AT2G31470	ATDOR	ATDOR
Potra2n1c3861	Potri.001G458600	AT3G12930	ATDG238	ATDG238
Potra2n1c3873	Potri.001G459400	AT5G23530	ATCXE18	ATCXE18
Potra2n1c3874	Potri.001G459700	AT1G30620	ATMUR4	ATMUR4
Potra2n607s36125	Potri.001G459800	AT3G44490	AThda17	AThda17
Potra2n1c3876	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n1c3880	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n1c3892	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n491s35790	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n491s35797	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n607s36127	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n607s36128	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n607s36134	Potri.001G459900	AT1G30610	ATemb2279	ATemb2279
Potra2n1c3889	Potri.001G459900	None	None	None
Potra2n491s35796	Potri.001G460000	AT3G44490	AThda17	AThda17
Potra2n11c22473	Potri.001G460000	AT3G44680	ATHDA9	ATHDA9
Potra2n1c3888	Potri.001G460000	AT3G44680	ATHDA9	ATHDA9
Potra2n1c3894	Potri.001G460000	AT3G44680	ATHDA9	ATHDA9
Potra2n607s36129	Potri.001G460000	AT3G44680	ATHDA9	ATHDA9
Potra2n607s36131	Potri.001G460000	None	None	None
Potra2n1c3895	Potri.001G460100	AT1G25260	ATRDP	ATRDP
Potra2n1c3898	Potri.001G460300	AT3G25690	ATCHUP1	ATCHUP1
Potra2n1c3899	Potri.001G460400	AT3G23290	ATLSH4	ATLSH4
Potra2n490s35789	Potri.001G460600	AT2G34830	ATABT2	ATABT2
Potra2n1c3901	Potri.001G460600	AT1G30650	ATWRKY14	ATWRKY14
Potra2n1c3904	Potri.001G460800	None	None	None
Potra2n1c3906	Potri.001G461000	AT2G34820	None	AT2G34820
Potra2n1c3907	Potri.001G461100	AT2G44510	None	AT2G44510
Potra2n1c3908	Potri.001G461200	AT1G30680	ATH	ATH
Potra2n1c3909	Potri.001G461300	AT1G30680	ATH	ATH
Potra2n1c3910	Potri.001G461400	AT1G30690	ATPATL4	ATPATL4
Potra2n1c3911	Potri.001G461500	AT4G20820	ATBBE18	ATBBE18
Potra2n1c3913	Potri.001G461900	AT4G20820	ATBBE18	ATBBE18
Potra2n1469s37090	Potri.001G462000	AT4G20840	ATBBE21	ATBBE21
Potra2n1538s37128	Potri.001G462200	AT1G30700	ATBBE8	ATBBE8
Potra2n1c3883	Potri.001G462600	AT1G01980	ATBBE1	ATBBE1
Potra2n1c3887	Potri.001G462600	AT1G01980	ATBBE1	ATBBE1
Potra2n1c3916	Potri.001G462600	AT1G01980	ATBBE1	ATBBE1
Potra2n1c3885	Potri.001G462800	AT1G30760	None	AT1G30760
Potra2n1c3917	Potri.001G462800	None	None	None
Potra2n1c3919	Potri.001G463000	AT1G23460	None	AT1G23460
Potra2n1c3920	Potri.001G463100	AT2G34790	ATMEE23	ATMEE23
Potra2n1c3921	Potri.001G463200	AT3G26710	ATCCB1	ATCCB1
Potra2n1c3922	Potri.001G463300	AT1G30760	None	AT1G30760
Potra2n1c3923	Potri.001G463300	AT1G30760	None	AT1G30760
Potra2n1c3924	Potri.001G463400	AT5G44380	None	AT5G44380
Potra2n1c3926	Potri.001G463800	AT2G34770	ATFAH1	ATFAH1
Potra2n1c3927	Potri.001G463900	AT1G28600	ATGGL2	ATGGL2
Potra2n1c3928	Potri.001G464200	AT3G15930	None	AT3G15930
Potra2n11c22437	Potri.001G464300	AT4G20880	None	AT4G20880
Potra2n1c3929	Potri.001G464300	AT4G20880	None	AT4G20880
Potra2n1c3931	Potri.001G464400	AT5G23860	ATTUB8	ATTUB8
Potra2n1c3932	Potri.001G464500	AT5G39190	ATGER2	ATGER2
Potra2n1c3934	Potri.001G464900	AT3G16360	ATAHP4	ATAHP4
Potra2n1c3935	Potri.001G465000	AT3G16360	ATAHP4	ATAHP4
Potra2n1c3936	Potri.001G465300	AT5G63890	ATHDH	ATHDH
Potra2n17c31815	Potri.001G465401	AT4G20900	ATMS5	ATMS5
Potra2n1c3937	Potri.001G465401	AT4G20900	ATMS5	ATMS5
Potra2n1c3938	Potri.001G465500	AT4G20910	ATHEN1	ATHEN1
Potra2n1c3939	Potri.001G465600	AT4G20930	ATHDH1	ATHDH1
Potra2n1c3940	Potri.001G465800	AT4G20940	ATGHR1	ATGHR1
Potra2n1c3942	Potri.001G465900	AT1G30580	ATENGD-1	ATENGD-1
Potra2n1c3941	Potri.001G466000	AT5G56000	ATHsp81.4	ATHsp81.4
Potra2n1c3943	Potri.001G466000	AT5G56010	ATHSP81-3	ATHSP81-3
Potra2n1c3944	Potri.001G466066	AT4G33990	ATEMB2758	ATEMB2758
Potra2n1c3945	Potri.001G466200	AT2G45600	None	AT2G45600
Potra2n1c3947	Potri.001G466300	AT2G45600	None	AT2G45600
Potra2n1c3948	Potri.001G466300	AT2G45600	None	AT2G45600
Potra2n1c3949	Potri.001G466500	None	None	None
Potra2n11c22421	Potri.001G466700	AT5G14980	ATMAGL14	ATMAGL14
Potra2n1c3950	Potri.001G466700	AT5G14980	ATMAGL14	ATMAGL14
Potra2n1c3951	Potri.001G466800	AT2G34730	None	AT2G34730
Potra2n1c3952	Potri.001G466900	AT1G30540	ATGNK	ATGNK
Potra2n1c3953	Potri.001G467000	AT1G30570	ATHERK2	ATHERK2
Potra2n1c3954	Potri.001G467100	AT4G26555	ATFKBP16-1	ATFKBP16-1
Potra2n1c3955	Potri.001G467300	AT4G26540	ATRGFR3	ATRGFR3
Potra2n1c3956	Potri.001G467400	AT3G13226	None	AT3G13226
Potra2n1c3958	Potri.001G467600	AT3G44730	None	AT3G44730
Potra2n1c3959	Potri.001G467800	AT4G26510	ATUKL4	ATUKL4
Potra2n11c22411	Potri.001G468300	AT4G26500	ATCPSUFE	ATCPSUFE
Potra2n1c3960	Potri.001G468300	AT4G26500	ATCPSUFE	ATCPSUFE
Potra2n1c3963	Potri.001G468500	AT4G05030	None	AT4G05030
Potra2n1c3964	Potri.001G468700	AT1G55760	ATSIBP1	ATSIBP1
Potra2n1c3966	Potri.001G468800	AT5G59810	ATSBT5.4	ATSBT5.4
Potra2n1c3967	Potri.001G468900	AT5G59810	ATSBT5.4	ATSBT5.4
Potra2n547s35912	Potri.001G469000	AT2G04160	ATAIR3	ATAIR3
Potra2n1c3968	Potri.001G469000	AT5G59810	ATSBT5.4	ATSBT5.4
Potra2n1c3973	Potri.001G469000	AT5G59810	ATSBT5.4	ATSBT5.4
Potra2n547s35909	Potri.001G469100	None	None	None
Potra2n1c3987	Potri.001G469200	AT3G13230	ATKH14	ATKH14
Potra2n1c3988	Potri.001G469300	AT3G13235	ATDDI1	ATDDI1
Potra2n11c22402	Potri.001G469401	AT3G13275	None	AT3G13275
Potra2n1c3989	Potri.001G469401	AT3G13275	None	AT3G13275
Potra2n1c3990	Potri.001G469500	AT3G13290	ATVCR	ATVCR
Potra2n1c3991	Potri.001G469600	AT3G13310	ATDJC66	ATDJC66
Potra2n1c3993	Potri.001G470000	AT5G23810	ATAAP7	ATAAP7
Potra2n1c3996	Potri.001G470500	AT5G56110	ATMYB80	ATMYB80
Potra2n1c3997	Potri.001G470600	AT3G13330	ATPA200	ATPA200
Potra2n1c3998	Potri.001G470700	AT1G60950	ATFED A	ATFED A
Potra2n1c4000	Potri.001G470800	AT5G56120	None	AT5G56120
Potra2n1c3999	Potri.001G470900	AT5G56130	ATTEX1	ATTEX1
Potra2n1c4001	Potri.001G471000	AT5G56140	ATKH29	ATKH29
Potra2n1c4002	Potri.001G471100	AT4G26470	None	AT4G26470
Potra2n1c4003	Potri.001G471200	AT3G08690	ATUBC11	ATUBC11
Potra2n1c4005	Potri.001G471300	AT1G55690	None	AT1G55690
Potra2n1c4007	Potri.001G471600	AT5G66520	ATCREF7	ATCREF7
Potra2n1c4006	Potri.001G471700	AT5G56180	ATARP8	ATARP8
Potra2n1c4008	Potri.001G471800	AT1G55680	None	AT1G55680
Potra2n1c4009	Potri.001G472000	AT4G26455	ATWIP1	ATWIP1
Potra2n1c4011	Potri.001G472200	AT5G56220	ATTN21	ATTN21
Potra2n1c4013	Potri.001G472400	AT5G56240	None	AT5G56240
Potra2n1c4014	Potri.001G472600	AT4G26450	None	AT4G26450
Potra2n1c4015	Potri.001G472700	AT1G55620	ATCLC-F	ATCLC-F
Potra2n1c4016	Potri.001G472800	AT5G56270	ATWRKY2	ATWRKY2
Potra2n1c4017	Potri.001G472900	AT1G55610	ATBRL1	ATBRL1
Potra2n1c4018	Potri.001G473100	AT5G56290	ATPEX5	ATPEX5
Potra2n1405s37047	Potri.001G473200	AT1G55580	ATLAS	ATLAS
Potra2n1c4019	Potri.001G473200	AT1G55580	ATLAS	ATLAS
Potra2n1c4020	Potri.001G473300	AT1G16220	None	AT1G16220
Potra2n2c6457	Potri.002G000100	AT1G79600	ATABC1K3	ATABC1K3
Potra2n2c6455	Potri.002G000200	AT2G39970	ATPXN	ATPXN
Potra2n2c6454	Potri.002G000300	AT1G21080	None	AT1G21080
Potra2n8c16790	Potri.002G000401	AT1G40390	None	AT1G40390
Potra2n2c6452	Potri.002G000401	None	None	None
Potra2n2c6449	Potri.002G000500	AT1G76670	ATURGT1	ATURGT1
Potra2n2c6448	Potri.002G000600	None	None	None
Potra2n2c6447	Potri.002G000800	AT5G25070	None	AT5G25070
Potra2n2c6446	Potri.002G001000	AT5G42400	ATSDG25	ATSDG25
Potra2n2c6445	Potri.002G001100	AT1G76660	None	AT1G76660
Potra2n2c6443	Potri.002G001400	AT5G42380	ATCML37	ATCML37
Potra2n5c10495	Potri.002G001500	AT1G21065	None	AT1G21065
Potra2n2c6442	Potri.002G001600	AT2G33580	ATLYK5	ATLYK5
Potra2n2c6441	Potri.002G001700	AT1G76630	ATSKI3	ATSKI3
Potra2n2c6440	Potri.002G001800	AT2G17380	ATAP19	ATAP19
Potra2n2c6439	Potri.002G001900	AT1G76620	ATPDE339	ATPDE339
Potra2n2c6438	Potri.002G002000	AT1G76610	None	AT1G76610
Potra2n2c6437	Potri.002G002100	AT1G21010	None	AT1G21010
Potra2n2c6436	Potri.002G002200	AT1G21000	ATPLATZ1	ATPLATZ1
Potra2n2c6434	Potri.002G002400	AT1G20980	ATSPL14	ATSPL14
Potra2n2c6433	Potri.002G002500	AT1G20960	ATemb1507	ATemb1507
Potra2n2c6432	Potri.002G002700	AT1G76560	ATCP12-3	ATCP12-3
Potra2n2c6431	Potri.002G002900	AT2G33560	ATBUBR1	ATBUBR1
Potra2n2c6430	Potri.002G003000	AT1G27650	ATU2AF35A	ATU2AF35A
Potra2n2c6429	Potri.002G003100	AT1G76550	None	AT1G76550
Potra2n2c6427	Potri.002G003200	AT2G33600	ATCRL2	ATCRL2
Potra2n2c6426	Potri.002G003400	AT1G76540	ATCDKB2;1	ATCDKB2;1
Potra2n2c6425	Potri.002G003500	AT1G20925	ATPILS1	ATPILS1
Potra2n2c6424	Potri.002G003600	AT1G20920	ATRCF1	ATRCF1
Potra2n2c6423	Potri.002G003700	AT1G76510	ATARID4	ATARID4
Potra2n5c10519	Potri.002G003700	AT1G76510	ATARID4	ATARID4
Potra2n2c6422	Potri.002G003800	AT4G35390	ATAHL25	ATAHL25
Potra2n2c6421	Potri.002G004000	AT1G76490	ATHMG1	ATHMG1
Potra2n2c6420	Potri.002G004100	AT2G33590	ATCRL1	ATCRL1
Potra2n2c6419	Potri.002G004200	None	None	None
Potra2n2c6418	Potri.002G004500	AT2G33590	ATCRL1	ATCRL1
Potra2n2c6417	Potri.002G004800	AT2G33610	ATSWI3B	ATSWI3B
Potra2n2c6416	Potri.002G005000	AT2G33620	ATAHL10	ATAHL10
Potra2n2c6415	Potri.002G005100	AT2G33630	None	AT2G33630
Potra2n2c6413	Potri.002G005400	AT1G20870	ATIDM3	ATIDM3
Potra2n2c6412	Potri.002G005500	AT1G76430	ATPHT1;9	ATPHT1;9
Potra2n2c6411	Potri.002G005600	AT5G03780	ATTRFL10	ATTRFL10
Potra2n2c6410	Potri.002G005700	AT1G20850	ATXCP2	ATXCP2
Potra2n2c6408	Potri.002G005800	AT1G76420	ATCUC3	ATCUC3
Potra2n2c6407	Potri.002G006000	AT2G33690	None	AT2G33690
Potra2n2c6406	Potri.002G006100	AT1G42550	ATPMI1	ATPMI1
Potra2n2c6405	Potri.002G006200	AT4G35300	ATTMT2	ATTMT2
Potra2n2c6404	Potri.002G006300	AT1G20830	ATMCD1	ATMCD1
Potra2n2c6403	Potri.002G006400	AT1G76410	ATL8	ATL8
Potra2n2c6401	Potri.002G006600	AT1G76400	ATOST1B	ATOST1B
Potra2n5c10546	Potri.002G006700	AT5G65970	ATMLO10	ATMLO10
Potra2n2c6400	Potri.002G006700	AT2G33670	ATMLO5	ATMLO5
Potra2n2c6399	Potri.002G006800	None	None	None
Potra2n2c6398	Potri.002G006900	AT2G33640	ATPAT21	ATPAT21
Potra2n5c10548	Potri.002G006900	AT2G33640	ATPAT21	ATPAT21
Potra2n2c6396	Potri.002G007000	AT2G17430	ATMLO7	ATMLO7
Potra2n2c6397	Potri.002G007000	None	None	None
Potra2n7c16083	Potri.002G007000	None	None	None
Potra2n2c6395	Potri.002G007100	AT1G42970	ATGAPB	ATGAPB
Potra2n2c6393	Potri.002G007300	AT2G05790	None	AT2G05790
Potra2n5c10551	Potri.002G007300	AT5G56590	None	AT5G56590
Potra2n2c6392	Potri.002G007400	AT1G42540	ATGLR3.3	ATGLR3.3
Potra2n2c6391	Potri.002G007500	AT2G33700	ATPP2CG1	ATPP2CG1
Potra2n2c6388	Potri.002G007700	AT5G42350	ATCFK1	ATCFK1
Potra2n2c6387	Potri.002G007800	AT1G20780	ATSAUL1	ATSAUL1
Potra2n2c6377	Potri.002G007900	None	None	None
Potra2n2c6378	Potri.002G008000	None	None	None
Potra2n296s35238	Potri.002G008200	AT3G14840	ATLIK1	ATLIK1
Potra2n15c28430	Potri.002G008500	AT5G21090	None	AT5G21090
Potra2n2c6380	Potri.002G008500	None	None	None
Potra2n2c6384	Potri.002G008600	AT5G53320	None	AT5G53320
Potra2n296s35242	Potri.002G008600	AT1G20760	ATEH1	ATEH1
Potra2n296s35244	Potri.002G008600	AT1G20760	ATEH1	ATEH1
Potra2n2c6374	Potri.002G008700	AT1G20720	None	AT1G20720
Potra2n2c6375	Potri.002G008800	AT4G35550	ATWOX13	ATWOX13
Potra2n2c6373	Potri.002G009000	AT1G20696	ATHMGB3	ATHMGB3
Potra2n2c6372	Potri.002G009100	AT1G20670	ATBRD1	ATBRD1
Potra2n2c6371	Potri.002G009300	AT1G20650	ATASG5	ATASG5
Potra2n2c6370	Potri.002G009400	AT1G76360	ATPBL31	ATPBL31
Potra2n2c6369	Potri.002G009600	AT1G42470	ATNPC1 - 1	ATNPC1 - 1
Potra2n2c6368	Potri.002G009700	AT1G20640	ATNLP4	ATNLP4
Potra2n2c6367	Potri.002G009800	AT4G35090	ATCAT2	ATCAT2
Potra2n2c6366	Potri.002G009900	AT5G42340	ATPUB15	ATPUB15
Potra2n2c6365	Potri.002G010000	AT1G76310	None	AT1G76310
Potra2n2c6363	Potri.002G010100	AT2G30600	None	AT2G30600
Potra2n2c6364	Potri.002G010200	AT1G20580	ATSMD3B	ATSMD3B
Potra2n2c6361	Potri.002G010300	AT1G20575	ATDPMS1	ATDPMS1
Potra2n2c6362	Potri.002G010400	AT5G42330	None	AT5G42330
Potra2n2c6360	Potri.002G010600	AT1G20560	ATAAE1	ATAAE1
Potra2n2c6359	Potri.002G010700	AT3G26040	None	AT3G26040
Potra2n2c6358	Potri.002G010800	AT5G42320	None	AT5G42320
Potra2n2c6357	Potri.002G010900	AT5G42310	ATCRP1	ATCRP1
Potra2n2c6356	Potri.002G011000	AT1G63610	ATDUF760-3	ATDUF760-3
Potra2n2c6355	Potri.002G011100	AT1G76270	None	AT1G76270
Potra2n2c6354	Potri.002G011200	AT1G20540	None	AT1G20540
Potra2n2c6353	Potri.002G011300	AT1G42430	ATESV1	ATESV1
Potra2n2c6352	Potri.002G011400	AT1G76250	None	AT1G76250
Potra2n2c6351	Potri.002G011500	AT3G51020	None	AT3G51020
Potra2n5c10593	Potri.002G011500	AT3G51020	None	AT3G51020
Potra2n2c6350	Potri.002G011600	AT1G76240	None	AT1G76240
Potra2n2c6349	Potri.002G011700	AT4G35240	None	AT4G35240
Potra2n2c6348	Potri.002G011800	AT4G35230	ATBSK1	ATBSK1
Potra2n2c6347	Potri.002G012000	AT5G42270	ATVAR1	ATVAR1
Potra2n2c6346	Potri.002G012200	AT2G17070	None	AT2G17070
Potra2n1070s36964	Potri.002G012300	AT5G44265	None	AT5G44265
Potra2n1070s36963	Potri.002G012400	AT2G17080	None	AT2G17080
Potra2n2c6345	Potri.002G012400	AT2G17080	None	AT2G17080
Potra2n2c6342	Potri.002G012500	AT4G35190	ATLOG5	ATLOG5
Potra2n2c6341	Potri.002G012600	AT1G76210	None	AT1G76210
Potra2n2c6340	Potri.002G012700	AT1G76200	None	AT1G76200
Potra2n2c6339	Potri.002G012900	AT1G47670	None	AT1G47670
Potra2n2c6338	Potri.002G013000	AT1G20460	None	AT1G20460
Potra2n2c6337	Potri.002G013100	AT1G62830	ATLDL1	ATLDL1
Potra2n5c10607	Potri.002G013100	AT1G62830	ATLDL1	ATLDL1
Potra2n2c6336	Potri.002G013200	None	None	None
Potra2n2c6335	Potri.002G013400	AT5G42250	None	AT5G42250
Potra2n2c6334	Potri.002G013500	AT5G42220	None	AT5G42220
Potra2n2c6333	Potri.002G013601	AT1G20430	None	AT1G20430
Potra2n2c6331	Potri.002G013700	AT1G76160	ATsks5	ATsks5
Potra2n2c6330	Potri.002G013800	AT1G76150	ATECH2	ATECH2
Potra2n2c6329	Potri.002G013900	AT1G76140	ATPOQR-LIKE	ATPOQR-LIKE
Potra2n2c6328	Potri.002G014000	AT1G76140	ATPOQR-LIKE	ATPOQR-LIKE
Potra2n2c6327	Potri.002G014100	AT4G38430	ATROPGEF1	ATROPGEF1
Potra2n2c6326	Potri.002G014300	AT1G76130	ATAMY2	ATAMY2
Potra2n2c6323	Potri.002G014600	None	None	None
Potra2n2c6322	Potri.002G014700	AT4G35750	None	AT4G35750
Potra2n2c6321	Potri.002G014800	AT5G40410	None	AT5G40410
Potra2n2c6320	Potri.002G014900	AT4G35770	ATSEN1	ATSEN1
Potra2n2c6319	Potri.002G015001	AT3G07860	None	AT3G07860
Potra2n2c6318	Potri.002G015100	AT3G03190	ATGSTF11	ATGSTF11
Potra2n2c6317	Potri.002G015200	AT3G03190	ATGSTF11	ATGSTF11
Potra2n2c6316	Potri.002G015400	AT4G35780	ATSTY17	ATSTY17
Potra2n2c6315	Potri.002G015500	None	None	None
Potra2n2c6314	Potri.002G015700	None	None	None
Potra2n2c6312	Potri.002G015800	AT5G11880	ATDAPDC2	ATDAPDC2
Potra2n2c6311	Potri.002G015900	AT5G27280	None	AT5G27280
Potra2n2c6310	Potri.002G016000	AT1G20340	ATDRT112	ATDRT112
Potra2n2c6309	Potri.002G016100	AT4G35790	ATPLDDELTA	ATPLDDELTA
Potra2n2c6308	Potri.002G016200	AT5G42210	None	AT5G42210
Potra2n2c6307	Potri.002G016300	AT1G20330	ATSMT2	ATSMT2
Potra2n2c6306	Potri.002G016500	AT1G76070	None	AT1G76070
Potra2n2c6305	Potri.002G016600	AT1G76060	ATEMB1793	ATEMB1793
Potra2n2c6304	Potri.002G016700	AT1G20270	None	AT1G20270
Potra2n2c6303	Potri.002G016800	AT1G76050	ATRLUA5	ATRLUA5
Potra2n5c10636	Potri.002G016800	AT1G76050	ATRLUA5	ATRLUA5
Potra2n2c6302	Potri.002G016900	AT3G56150	ATEIF3C	ATEIF3C
Potra2n2c6301	Potri.002G017000	AT1G76040	ATCPK29	ATCPK29
Potra2n2c6299	Potri.002G017200	AT1G60420	ATNRX1	ATNRX1
Potra2n2c6298	Potri.002G017400	AT5G42200	ATL23	ATL23
Potra2n2c6297	Potri.002G017500	AT1G20225	None	AT1G20225
Potra2n2c6295	Potri.002G017800	AT1G20200	ATemb2719	ATemb2719
Potra2n5c10643	Potri.002G017800	AT1G20200	ATemb2719	ATemb2719
Potra2n2c6293	Potri.002G017900	AT1G20190	ATEXPA11	ATEXPA11
Potra2n2c6292	Potri.002G018000	AT5G42180	ATPER64	ATPER64
Potra2n2c6291	Potri.002G018100	AT1G75980	None	AT1G75980
Potra2n2c6290	Potri.002G018200	AT1G20180	None	AT1G20180
Potra2n2c6287	Potri.002G018300	AT4G39330	ATCAD9	ATCAD9
Potra2n5c10645	Potri.002G018300	AT4G37980	ATELI3-1	ATELI3-1
Potra2n2c6286	Potri.002G018400	AT4G35900	ATFD	ATFD
Potra2n2c6285	Potri.002G018500	AT1G20160	ATSBT5.2	ATSBT5.2
Potra2n2c6284	Potri.002G018600	AT1G20160	ATSBT5.2	ATSBT5.2
Potra2n2c6283	Potri.002G018700	AT5G42190	ATSKP1B	ATSKP1B
Potra2n2c6282	Potri.002G018800	AT1G75900	ATGGL13	ATGGL13
Potra2n2c6281	Potri.002G018900	AT1G20110	ATFYVE1	ATFYVE1
Potra2n2c6279	Potri.002G019000	AT3G12920	ATBRG3	ATBRG3
Potra2n2c6276	Potri.002G019200	AT2G17787	None	AT2G17787
Potra2n5c10660	Potri.002G019300	AT2G16750	None	AT2G16750
Potra2n2c6275	Potri.002G019300	AT4G35030	None	AT4G35030
Potra2n2c6273	Potri.002G019500	AT2G17800	ATARAC1	ATARAC1
Potra2n2c6272	Potri.002G019600	AT1G27940	ATABCB13	ATABCB13
Potra2n5c10663	Potri.002G019600	AT1G27940	ATABCB13	ATABCB13
Potra2n2c6271	Potri.002G019700	AT1G20070	None	AT1G20070
Potra2n2c6269	Potri.002G019800	AT1G20080	ATSYTB	ATSYTB
Potra2n2c6268	Potri.002G019900	AT1G75820	ATCLV1	ATCLV1
Potra2n2c6267	Potri.002G020000	AT4G24200	None	AT4G24200
Potra2n2c6263	Potri.002G020300	None	None	None
Potra2n12c23915	Potri.002G020400	AT1G19320	None	AT1G19320
Potra2n2c6262	Potri.002G020400	AT4G38660	None	AT4G38660
Potra2n2c6261	Potri.002G020500	None	None	None
Potra2n2c6259	Potri.002G020600	None	None	None
Potra2n2c6258	Potri.002G020700	AT2G17880	ATDJC24	ATDJC24
Potra2n2c6257	Potri.002G020800	AT2G17880	ATDJC24	ATDJC24
Potra2n2c6256	Potri.002G020900	AT5G05670	None	AT5G05670
Potra2n2c6255	Potri.002G021000	AT1G75790	ATsks18	ATsks18
Potra2n2c6251	Potri.002G021300	AT1G20230	None	AT1G20230
Potra2n2c6250	Potri.002G021400	AT1G30755	ATPSI2	ATPSI2
Potra2n2c6249	Potri.002G021500	AT4G38740	ATROC1	ATROC1
Potra2n2c6247	Potri.002G021600	AT3G06880	None	AT3G06880
Potra2n2c6245	Potri.002G021700	AT5G42470	None	AT5G42470
Potra2n2c6244	Potri.002G021800	AT1G20010	ATTUB5	ATTUB5
Potra2n2c6243	Potri.002G021900	None	None	None
Potra2n2c6241	Potri.002G022200	AT1G19980	None	AT1G19980
Potra2n2c6240	Potri.002G022300	AT1G75760	None	AT1G75760
Potra2n5c10694	Potri.002G022300	AT2G21190	None	AT2G21190
Potra2n2c6239	Potri.002G022400	None	None	None
Potra2n2c6238	Potri.002G022700	AT1G75750	ATGASA1	ATGASA1
Potra2n2c6237	Potri.002G022800	AT1G75730	None	AT1G75730
Potra2n2c6236	Potri.002G022900	AT1G47830	ATAP2S	ATAP2S
Potra2n2c6235	Potri.002G023000	AT1G75720	None	AT1G75720
Potra2n2c6234	Potri.002G023100	AT1G75717	None	AT1G75717
Potra2n2c6233	Potri.002G023200	AT1G75710	ATBRON	ATBRON
Potra2n2c6232	Potri.002G023300	AT2G45730	ATTRM6	ATTRM6
Potra2n2c6231	Potri.002G023400	AT1G47870	ATE2F2	ATE2F2
Potra2n2c6230	Potri.002G023500	AT5G42560	None	AT5G42560
Potra2n2c6229	Potri.002G023600	AT1G75690	ATLQY1	ATLQY1
Potra2n2c6228	Potri.002G023700	AT4G31790	None	AT4G31790
Potra2n2c6227	Potri.002G023800	AT2G24960	None	AT2G24960
Potra2n2c6226	Potri.002G023900	AT1G19940	ATGH9B5	ATGH9B5
Potra2n2c6225	Potri.002G024000	AT2G28305	ATLOG1	ATLOG1
Potra2n2c6223	Potri.002G024200	AT1G19920	ATAPS2	ATAPS2
Potra2n2c6221	Potri.002G024300	AT1G75580	ATSAUR51	ATSAUR51
Potra2n2c6220	Potri.002G024400	AT1G19835	ATTCS1	ATTCS1
Potra2n2c6217	Potri.002G024500	AT1G75590	ATSAUR52	ATSAUR52
Potra2n2c6216	Potri.002G024600	AT1G75670	None	AT1G75670
Potra2n2c6214	Potri.002G024700	AT1G19850	ATMP	ATMP
Potra2n2c6213	Potri.002G024800	AT3G27230	None	AT3G27230
Potra2n2c6212	Potri.002G024900	AT5G15320	None	AT5G15320
Potra2n5c10722	Potri.002G024900	AT5G15320	None	AT5G15320
Potra2n2c6210	Potri.002G025100	AT1G19860	ATC3H6	ATC3H6
Potra2n2c6209	Potri.002G025200	AT1G19870	ATiqd32	ATiqd32
Potra2n2c6208	Potri.002G025300	AT4G31500	ATCYP83B1	ATCYP83B1
Potra2n5c10728	Potri.002G025300	AT4G31500	ATCYP83B1	ATCYP83B1
Potra2n2c6206	Potri.002G025500	AT4G31500	ATCYP83B1	ATCYP83B1
Potra2n2c6205	Potri.002G025800	AT4G31500	ATCYP83B1	ATCYP83B1
Potra2n2c6207	Potri.002G025800	AT4G31500	ATCYP83B1	ATCYP83B1
Potra2n2c6204	Potri.002G026600	AT1G19880	ATPROTON1	ATPROTON1
Potra2n2c6203	Potri.002G026700	AT5G42520	ATBPC6	ATBPC6
Potra2n13c25996	Potri.002G026800	AT4G40030	ATH3.3	ATH3.3
Potra2n7c15856	Potri.002G026800	AT4G40030	ATH3.3	ATH3.3
Potra2n2c5505	Potri.002G026800	AT4G40040	ATH3.3	ATH3.3
Potra2n2c6202	Potri.002G026800	AT4G40040	ATH3.3	ATH3.3
Potra2n5c10732	Potri.002G026800	AT4G40040	ATH3.3	ATH3.3
Potra2n5c12218	Potri.002G026800	AT4G40040	ATH3.3	ATH3.3
Potra2n7c16512	Potri.002G026800	AT4G40040	ATH3.3	ATH3.3
Potra2n2c6201	Potri.002G027000	AT1G19900	ATRUBY	ATRUBY
