X,baseMean,log2FoldChange,padj,timepoint,level in KNO3,description,kegg_description,atg_description,go_description,pfam_description,t_factor
Potra2n4c8518,442.3704156,1.484990104,2.80E-07,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q00216|TIGA_ASPNG Protein disulfide-isomerase tigA OS=Aspergillus niger OX=5061 GN=tigA PE=2 SV=1,1.8.4.8,AT4G04610-APS reductase 1 APS reductase 1,"GO:0019344-cysteine biosynthetic process;GO:0019419-sulfate reduction;GO:0003824-catalytic activity;GO:0016671-oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;GO:0004604-phosphoadenylyl-sulfate reductase (thioredoxin) activity;GO:0045454-cell redox homeostasis;GO:0055114-oxidation-reduction process",PF00085-Thioredoxin;PF01507-Phosphoadenosine phosphosulfate reductase family,No
Potra2n4c10074,273.2859516,1.507039022,0.039506884,KNO3_2h_vs_KCL_2h,Upregulated,sp|B3FWT9|RDC4_METCM Cytochrome P450 monooxygenase rdc4 OS=Metacordyceps chlamydosporia OX=280754 GN=rdc4 PE=1 SV=1,0,"AT2G27690-cytochrome P450, family 94, subfamily C, polypeptide 1 cytochrome P450, family 94, subfamily C, polypeptide 1","GO:0005506-iron ion binding;GO:0016705-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0055114-oxidation-reduction process;GO:0020037-heme binding",PF00067-Cytochrome P450,No
Potra2n18c32125,36.25674535,1.513114449,0.012025765,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT3G15760-cytochrome P450 family protein cytochrome P450 family protein,0,0,No
Potra2n17c31530,463.8788291,1.516439404,8.65E-57,KNO3_2h_vs_KCL_2h,Upregulated,sp|C0LGQ4|MDIS2_ARATH Protein MALE DISCOVERER 2 OS=Arabidopsis thaliana OX=3702 GN=MDIS2 PE=1 SV=1,0,AT5G64290-dicarboxylate transport 2.1 dicarboxylate transport 2.1,GO:0022857-transmembrane transporter activity;GO:0016020-membrane;GO:0055085-transmembrane transport;GO:0005515-protein binding,PF08263-Leucine rich repeat N-terminal domain;PF00560-Leucine Rich Repeat;PF00939-Sodium:sulfate symporter transmembrane region;PF13855-Leucine rich repeat,No
Potra2n2c4957,232.0610501,1.543369246,2.05E-35,KNO3_2h_vs_KCL_2h,Upregulated,sp|O00102|UBC7_SCHPO Ubiquitin-conjugating enzyme E2-18 kDa OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubc7 PE=1 SV=2,0,AT5G41340-ubiquitin conjugating enzyme 4 ubiquitin conjugating enzyme 4,0,PF00179-Ubiquitin-conjugating enzyme,No
Potra2n18c32440,89.09124222,1.548608886,0.02075217,KNO3_2h_vs_KCL_2h,Upregulated,"sp|P33693|EXOK_RHIME Endo-1,3-1,4-beta-glycanase ExoK OS=Rhizobium meliloti (strain 1021) OX=266834 GN=exoK PE=1 SV=1",0,AT4G25810-xyloglucan endotransglycosylase 6 xyloglucan endotransglycosylase 6,"GO:0042546-cell wall biogenesis;GO:0005975-carbohydrate metabolic process;GO:0006073-cellular glucan metabolic process;GO:0005618-cell wall;GO:0048046-apoplast;GO:0016762-xyloglucan:xyloglucosyl transferase activity;GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds;GO:0010411-xyloglucan metabolic process",PF00722-Glycosyl hydrolases family 16;PF06955-Xyloglucan endo-transglycosylase (XET) C-terminus,No
Potra2n9c19920,103.1632693,1.608571741,8.39E-18,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q6N8F3|PQQE_RHOPA PqqA peptide cyclase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=pqqE PE=3 SV=1,4.1.99.22,AT2G31955-cofactor of nitrate reductase and xanthine dehydrogenase 2 cofactor of nitrate reductase and xanthine dehydrogenase 2,"GO:0006777-Mo-molybdopterin cofactor biosynthetic process;GO:0051539-4 iron, 4 sulfur cluster binding;GO:0051536-iron-sulfur cluster binding;GO:0003824-catalytic activity;GO:0019008-molybdopterin synthase complex;GO:0046872-metal ion binding",PF13353-4Fe-4S single cluster domain;PF04055-Radical SAM superfamily;PF06463-Molybdenum Cofactor Synthesis C,No
Potra2n7c15464,70.61037391,1.614042741,1.50E-06,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q4KLY4|RING2_RAT E3 ubiquitin-protein ligase RING2 OS=Rattus norvegicus OX=10116 GN=Rnf2 PE=2 SV=1,0,AT1G03770-RING 1B RING 1B,0,"PF13923-Zinc finger, C3HC4 type (RING finger)",C2H2
Potra2n1c2361,187.0850624,1.639740879,6.80E-13,KNO3_2h_vs_KCL_2h,Upregulated,sp|P46154|FADH_PSEPU Glutathione-independent formaldehyde dehydrogenase OS=Pseudomonas putida OX=303 GN=fdhA PE=1 SV=3,1.1.1.1;1.1.1.1;1.1.1.1;1.1.1.1;1.1.1.1;1.1.1.1;1.1.1.1;1.1.1.284;1.1.1.1;1.1.1.1;1.1.1.1,AT5G43940-GroES-like zinc-binding dehydrogenase family protein GroES-like zinc-binding dehydrogenase family protein,GO:0051903-S-(hydroxymethyl)glutathione dehydrogenase activity;GO:0008270-zinc ion binding;GO:0055114-oxidation-reduction process;GO:0006069-ethanol oxidation,PF00107-Zinc-binding dehydrogenase;PF08240-Alcohol dehydrogenase GroES-like domain,No
Potra2n1c3844,37.27850467,1.663105463,0.000841923,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9LZN2|PILS6_ARATH Protein PIN-LIKES 6 OS=Arabidopsis thaliana OX=3702 GN=PILS6 PE=2 SV=1,0,AT1G76520-Auxin efflux carrier family protein Auxin efflux carrier family protein,GO:0016021-integral component of membrane;GO:0055085-transmembrane transport,PF03547-Membrane transport protein,No
Potra2n6c14860,28.7520613,1.692686309,0.002350708,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT2G12646-PLATZ transcription factor family protein PLATZ transcription factor family protein,0,PF04640-PLATZ transcription factor,PLATZ
Potra2n2c4551,99.33868077,1.6940223,9.12E-20,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT4G02425-LYR motif protein LYR motif protein,0,0,No
Potra2n1c318,17.6195344,1.729081898,0.015503195,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT1G16170-ephrin-A3 protein ephrin-A3 protein,0,0,No
Potra2n650s36268,45.06563609,1.735631272,0.000281886,KNO3_2h_vs_KCL_2h,Upregulated,sp|O07737|Y1895_MYCTU Probable zinc-binding alcohol dehydrogenase Rv1895 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1895 PE=1 SV=1,0,AT5G43940-GroES-like zinc-binding dehydrogenase family protein GroES-like zinc-binding dehydrogenase family protein,GO:0055114-oxidation-reduction process,PF00107-Zinc-binding dehydrogenase,No
Potra2n1c496,191.1022543,1.773334771,1.72E-23,KNO3_2h_vs_KCL_2h,Upregulated,sp|B4RC79|GLND_PHEZH Bifunctional uridylyltransferase/uridylyl-removing enzyme OS=Phenylobacterium zucineum (strain HLK1) OX=450851 GN=glnD PE=3 SV=1,0,AT1G69040-ACT domain repeat 4 ACT domain repeat 4,0,PF01842-ACT domain;PF01842-ACT domain,No
Potra2n5c12621,682.7760811,1.784388595,3.52E-29,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT5G27760-Hypoxia-responsive family protein Hypoxia-responsive family protein,0,PF04588-Hypoxia induced protein conserved region,No
Potra2n1c3303,65.23311239,1.842590855,0.045325037,KNO3_2h_vs_KCL_2h,Upregulated,sp|P10621|IPNS_STRCL Isopenicillin N synthase OS=Streptomyces clavuligerus OX=1901 GN=pcbC PE=3 SV=1,0,AT1G78440-gibberellin 2-beta-dioxygenase gibberellin 2-beta-dioxygenase,GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity,PF03171-2OG-Fe(II) oxygenase superfamily;PF14226-non-haem dioxygenase in morphine synthesis N-terminal,No
Potra2n3c6974,286.5678325,1.848278793,1.35E-42,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q24625|G6PD_DROSI Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Drosophila simulans OX=7240 GN=Zw PE=2 SV=1,1.1.1.49;1.1.1.49,AT5G13110-glucose-6-phosphate dehydrogenase 2 glucose-6-phosphate dehydrogenase 2,"GO:0004345-glucose-6-phosphate dehydrogenase activity;GO:0006006-glucose metabolic process;GO:0016614-oxidoreductase activity, acting on CH-OH group of donors;GO:0050661-NADP binding;GO:0055114-oxidation-reduction process","PF02781-Glucose-6-phosphate dehydrogenase, C-terminal domain;PF00479-Glucose-6-phosphate dehydrogenase, NAD binding domain",No
Potra2n1c685,57.99098408,1.859739892,0.011214662,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9LSE2|ICE1_ARATH Transcription factor ICE1 OS=Arabidopsis thaliana OX=3702 GN=SCRM PE=1 SV=1,0,AT4G00870-basic helix-loop-helix (bHLH) DNA-binding superfamily protein basic helix-loop-helix (bHLH) DNA-binding superfamily protein,GO:0046983-protein dimerization activity,PF00010-Helix-loop-helix DNA-binding domain;PF14215-bHLH-MYC and R2R3-MYB transcription factors N-terminal,bHLH
Potra2n13c25668,19.40538641,1.876446235,0.006423767,KNO3_2h_vs_KCL_2h,Upregulated,sp|C5BDY7|MDTK_EDWI9 Multidrug resistance protein MdtK OS=Edwardsiella ictaluri (strain 93-146) OX=634503 GN=mdtK PE=3 SV=1,0,AT5G17700-MATE efflux family protein MATE efflux family protein,GO:0015297-antiporter activity;GO:0016020-membrane;GO:0055085-transmembrane transport;GO:0042910-xenobiotic transmembrane transporter activity,PF01554-MatE;PF01554-MatE;PF01554-MatE;PF01554-MatE,No
Potra2n1c679,17.25396904,1.929112627,0.015476125,KNO3_2h_vs_KCL_2h,Upregulated,sp|O64639|Y2559_ARATH Receptor-like serine/threonine-protein kinase At2g45590 OS=Arabidopsis thaliana OX=3702 GN=At2g45590 PE=2 SV=1,0,AT1G56130-Leucine-rich repeat transmembrane protein kinase Leucine-rich repeat transmembrane protein kinase,GO:0005515-protein binding,PF11721-Malectin domain;PF00560-Leucine Rich Repeat,No
Potra2n9c19481,162.7498103,1.93356512,6.07E-15,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q84WK0|BH085_ARATH Transcription factor bHLH85 OS=Arabidopsis thaliana OX=3702 GN=BHLH85 PE=2 SV=1,0,AT2G42280-basic helix-loop-helix (bHLH) DNA-binding superfamily protein basic helix-loop-helix (bHLH) DNA-binding superfamily protein,GO:0046983-protein dimerization activity,PF00010-Helix-loop-helix DNA-binding domain,bHLH
Potra2n5c10502,69.39172786,1.983360407,3.28E-09,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT1G21000-PLATZ transcription factor family protein PLATZ transcription factor family protein,0,PF04640-PLATZ transcription factor,Znf-B
Potra2n11c23391,107.3797827,2.00520399,0.001933989,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9FJU2|FBD37_ARATH Putative FBD-associated F-box protein At5g56700 OS=Arabidopsis thaliana OX=3702 GN=At5g56700 PE=2 SV=2,0,"AT1G61330-FBD, F-box and Leucine Rich Repeat domains containing protein FBD, F-box and Leucine Rich Repeat domains containing protein",GO:0005515-protein binding,PF08387-FBD;PF00646-F-box domain,No
Potra2n3c7503,154.7177873,2.02980709,0.012000274,KNO3_2h_vs_KCL_2h,Upregulated,sp|B8NI27|IMQJ_ASPFN Peptide transporter imqJ OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=imqJ PE=2 SV=1,0,AT1G12110-nitrate transporter 1.1 nitrate transporter 1.1,GO:0006857-oligopeptide transport;GO:0022857-transmembrane transporter activity;GO:0016020-membrane;GO:0055085-transmembrane transport,PF00854-POT family,No
Potra2n1c3259,3765.650947,2.066585891,2.03E-68,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q6NRG5|NDOR1_XENLA NADPH-dependent diflavin oxidoreductase 1 OS=Xenopus laevis OX=8355 GN=ndor1 PE=2 SV=1,1.18.1.2,AT4G05390-root FNR 1 root FNR 1,GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity,PF00175-Oxidoreductase NAD-binding domain,No
Potra2n1c366,26.99273205,2.110237769,2.49E-05,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q93WV7|WRK67_ARATH Probable WRKY transcription factor 67 OS=Arabidopsis thaliana OX=3702 GN=WRKY67 PE=2 SV=1,0,AT1G80840-WRKY DNA-binding protein 40 WRKY DNA-binding protein 40,"GO:0003700-DNA binding transcription factor activity;GO:0006355-regulation of transcription, DNA-templated;GO:0043565-sequence-specific DNA binding",PF03106-WRKY DNA -binding domain,WRKY
Potra2n12c23912,708.1115733,2.141825277,3.71E-21,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q58931|TRXB_METJA Putative thioredoxin reductase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1536 PE=3 SV=1,1.4.1.14;1.4.1.14,AT5G53460-NADH-dependent glutamate synthase 1 NADH-dependent glutamate synthase 1,"GO:0015930-glutamate synthase activity;GO:0050660-flavin adenine dinucleotide binding;GO:0016638-oxidoreductase activity, acting on the CH-NH2 group of donors;GO:0016639-oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor;GO:0051536-iron-sulfur cluster binding;GO:0016040-glutamate synthase (NADH) activity;GO:0003824-catalytic activity;GO:0006537-glutamate biosynthetic process;GO:0006807-nitrogen compound metabolic process;GO:0010181-FMN binding;GO:0005506-iron ion binding;GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity","PF00310-Glutamine amidotransferases class-II;PF00310-Glutamine amidotransferases class-II;PF01493-GXGXG motif;PF07992-Pyridine nucleotide-disulphide oxidoreductase;PF14691-Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster;PF04898-Glutamate synthase central domain;PF01645-Conserved region in glutamate synthase",No
Potra2n17c31519,23.15459247,2.161057351,7.25E-08,KNO3_2h_vs_KCL_2h,Upregulated,sp|B0T7X2|LLDD_CAUSK L-lactate dehydrogenase OS=Caulobacter sp. (strain K31) OX=366602 GN=lldD PE=3 SV=1,0,AT5G64250-Aldolase-type TIM barrel family protein Aldolase-type TIM barrel family protein,GO:0003824-catalytic activity;GO:0018580-nitronate monooxygenase activity;GO:0055114-oxidation-reduction process,PF03060-Nitronate monooxygenase;PF03060-Nitronate monooxygenase,No
Potra2n9c19330,189.5712023,2.173016469,3.57E-24,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9CA30|LBD42_ARATH LOB domain-containing protein 42 OS=Arabidopsis thaliana OX=3702 GN=LBD42 PE=2 SV=1,0,AT3G49940-LOB domain-containing protein 38 LOB domain-containing protein 38,0,PF03195-Lateral organ boundaries (LOB) domain,AS2-LOB
Potra2n3c7270,1184.464608,2.184447113,4.07E-54,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q55702|Y229_SYNY3 Uncharacterized oxidoreductase slr0229 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0229 PE=3 SV=1,1.1.1.44;1.1.1.44,AT5G41670-6-phosphogluconate dehydrogenase family protein 6-phosphogluconate dehydrogenase family protein,GO:0050661-NADP binding;GO:0006098-pentose-phosphate shunt;GO:0004616-phosphogluconate dehydrogenase (decarboxylating) activity;GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity,"PF00393-6-phosphogluconate dehydrogenase, C-terminal domain;PF03446-NAD binding domain of 6-phosphogluconate dehydrogenase",No
Potra2n9c19486,922.2576946,2.422920886,4.30E-111,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q7Z494|NPHP3_HUMAN Nephrocystin-3 OS=Homo sapiens OX=9606 GN=NPHP3 PE=1 SV=1,0,AT3G52140-tetratricopeptide repeat (TPR)-containing protein tetratricopeptide repeat (TPR)-containing protein,GO:0048312-intracellular distribution of mitochondria;GO:0005515-protein binding,"PF05303-Protein of unknown function (DUF727);PF13236-Clustered mitochondria;PF12807-Translation initiation factor eIF3 subunit 135;PF13424-Tetratricopeptide repeat;PF15044-Mitochondrial function, CLU-N-term",No
Potra2n17c31885,33.86378089,2.432856066,0.031035698,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q6LRI5|TPMT_PHOPR Thiopurine S-methyltransferase OS=Photobacterium profundum (strain SS9) OX=298386 GN=tpm PE=3 SV=1,2.1.1.67,AT2G43940-S-adenosyl-L-methionine-dependent methyltransferases superfamily protein S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,GO:0008757-S-adenosylmethionine-dependent methyltransferase activity,PF05724-Thiopurine S-methyltransferase (TPMT),No
Potra2n1c2120,47.51262247,2.477886745,2.66E-20,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q03326|OXIR_STRAT Probable oxidoreductase OS=Streptomyces antibioticus OX=1890 PE=3 SV=1,0,AT2G29260-NAD(P)-binding Rossmann-fold superfamily protein NAD(P)-binding Rossmann-fold superfamily protein,0,PF13561-Enoyl-(Acyl carrier protein) reductase,No
Potra2n9c19654,218.1689273,2.557097708,2.03E-22,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q58119|Y709_METJA Uncharacterized transporter MJ0709 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0709 PE=3 SV=1,0,AT1G51340-MATE efflux family protein MATE efflux family protein,GO:0015297-antiporter activity;GO:0016020-membrane;GO:0055085-transmembrane transport;GO:0042910-xenobiotic transmembrane transporter activity,PF01554-MatE;PF01554-MatE,No
Potra2n2c6137,881.0916154,2.591436463,4.91E-05,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q93Z01|MIK_ARATH Inositol 3-kinase OS=Arabidopsis thaliana OX=3702 GN=At5g58730 PE=2 SV=1,0,AT1G19600-pfkB-like carbohydrate kinase family protein pfkB-like carbohydrate kinase family protein,0,PF00294-pfkB family carbohydrate kinase,No
Potra2n4c10024,18.59354627,2.701343227,0.014160129,KNO3_2h_vs_KCL_2h,Upregulated,sp|P25333|HAL4_YEAST Serine/threonine-protein kinase HAL4/SAT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAT4 PE=1 SV=1,0,AT4G38470-ACT-like protein tyrosine kinase family protein ACT-like protein tyrosine kinase family protein,GO:0006468-protein phosphorylation;GO:0005524-ATP binding;GO:0004672-protein kinase activity,PF07714-Protein tyrosine kinase;PF07714-Protein tyrosine kinase,No
Potra2n1c3307,1065.964736,2.932648592,4.88E-132,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q8BW70|UBP38_MOUSE Ubiquitin carboxyl-terminal hydrolase 38 OS=Mus musculus OX=10090 GN=Usp38 PE=1 SV=2,0,AT1G17110-ubiquitin-specific protease 15 ubiquitin-specific protease 15,GO:0006511-ubiquitin-dependent protein catabolic process;GO:0016579-protein deubiquitination;GO:0036459-thiol-dependent ubiquitinyl hydrolase activity,PF01753-MYND finger;PF00443-Ubiquitin carboxyl-terminal hydrolase,No
Potra2n1c827,1005.148955,3.048370205,3.08E-98,KNO3_2h_vs_KCL_2h,Upregulated,"sp|Q5NVA2|TRXR1_PONAB Thioredoxin reductase 1, cytoplasmic OS=Pongo abelii OX=9601 GN=TXNRD1 PE=2 SV=3",0,AT1G63940-monodehydroascorbate reductase 6 monodehydroascorbate reductase 6,GO:0050660-flavin adenine dinucleotide binding;GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity,PF07992-Pyridine nucleotide-disulphide oxidoreductase,No
Potra2n14c27393,146.8078787,3.115832729,6.11E-44,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9SRX6|LEA2_ARATH Late embryogenis abundant protein 2 OS=Arabidopsis thaliana OX=3702 GN=LEA2 PE=2 SV=1,0,AT4G02380-senescence-associated gene 21 senescence-associated gene 21,0,PF03242-Late embryogenesis abundant protein,No
Potra2n2c6001,26.70655771,3.156693637,1.15E-08,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q8W4K5|VAB_ARATH VAN3-binding protein OS=Arabidopsis thaliana OX=3702 GN=VAB PE=1 SV=1,0,AT3G63300-FORKED 1 FORKED 1,0,PF08458-Plant pleckstrin homology-like region;PF05703-Auxin canalisation,No
Potra2n5c11037,261.3779172,3.208374381,7.23E-76,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT3G59090-tobamovirus multiplication protein tobamovirus multiplication protein,0,PF06454-Protein of unknown function (DUF1084),No
Potra2n5c11357,182.8269357,3.21843214,2.10E-63,KNO3_2h_vs_KCL_2h,Upregulated,sp|F4KI56|SERCL_ARATH Metal-independent phosphoserine phosphatase OS=Arabidopsis thaliana OX=3702 GN=IPSP PE=1 SV=1,5.4.2.11;5.4.2.11;5.4.2.11,AT1G22170-Phosphoglycerate mutase family protein Phosphoglycerate mutase family protein,"GO:0003824-catalytic activity;GO:0004619-phosphoglycerate mutase activity;GO:0006096-glycolytic process;GO:0016868-intramolecular transferase activity, phosphotransferases",PF00300-Histidine phosphatase superfamily (branch 1);PF00300-Histidine phosphatase superfamily (branch 1),No
Potra2n3c7064,142.9894554,3.256767103,2.24E-38,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q0D673|P2C62_ORYSJ Probable protein phosphatase 2C 62 OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0507000 PE=2 SV=1,3.1.3.16;3.1.3.16;3.1.3.16,AT3G16560-Protein phosphatase 2C family protein Protein phosphatase 2C family protein,GO:0003824-catalytic activity;GO:0004722-protein serine/threonine phosphatase activity;GO:0006470-protein dephosphorylation,PF00481-Protein phosphatase 2C,No
Potra2n4c9465,865.4805681,3.270188824,1.54E-112,KNO3_2h_vs_KCL_2h,Upregulated,sp|C0MFB5|LDH_STRS7 L-lactate dehydrogenase OS=Streptococcus equi subsp. zooepidemicus (strain H70) OX=553483 GN=ldh PE=3 SV=1,1.1.1.37;1.1.1.37;1.1.1.37;1.1.1.37;1.1.1.37;1.1.1.37;1.1.1.37,AT3G47520-malate dehydrogenase malate dehydrogenase,"GO:0005975-carbohydrate metabolic process;GO:0016615-malate dehydrogenase activity;GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;GO:0003824-catalytic activity;GO:0006099-tricarboxylic acid cycle;GO:0030060-L-malate dehydrogenase activity;GO:0006108-malate metabolic process;GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity","PF00056-lactate/malate dehydrogenase, NAD binding domain;PF02866-lactate/malate dehydrogenase, alpha/beta C-terminal domain",No
Potra2n9c18689,1175.92598,3.325231773,4.30E-111,KNO3_2h_vs_KCL_2h,Upregulated,"sp|P23101|XYLZ_PSEPU Toluate 1,2-dioxygenase electron transfer component OS=Pseudomonas putida OX=303 GN=xylZ PE=3 SV=1",0,AT2G27510-ferredoxin 3 ferredoxin 3,"GO:0051536-iron-sulfur cluster binding;GO:0022900-electron transport chain;GO:0051537-2 iron, 2 sulfur cluster binding;GO:0009055-electron transfer activity",PF00111-2Fe-2S iron-sulfur cluster binding domain,No
Potra2n700s36526,177.5989637,3.508882829,1.51E-65,KNO3_2h_vs_KCL_2h,Upregulated,sp|P21639|COBI_SINSX Precorrin-2 C(20)-methyltransferase OS=Sinorhizobium sp. OX=42445 GN=cobI PE=1 SV=2,4.99.1.4;1.3.1.76;2.1.1.107,AT5G40850-urophorphyrin methylase 1 urophorphyrin methylase 1,GO:0008168-methyltransferase activity;GO:0019354-siroheme biosynthetic process;GO:0055114-oxidation-reduction process,PF00590-Tetrapyrrole (Corrin/Porphyrin) Methylases;PF00590-Tetrapyrrole (Corrin/Porphyrin) Methylases,No
Potra2n1c796,2371.262135,3.876594268,1.69E-115,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q55702|Y229_SYNY3 Uncharacterized oxidoreductase slr0229 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0229 PE=3 SV=1,1.1.1.44;1.1.1.44,AT5G41670-6-phosphogluconate dehydrogenase family protein 6-phosphogluconate dehydrogenase family protein,GO:0050661-NADP binding;GO:0006098-pentose-phosphate shunt;GO:0004616-phosphogluconate dehydrogenase (decarboxylating) activity;GO:0055114-oxidation-reduction process;GO:0016491-oxidoreductase activity,"PF00393-6-phosphogluconate dehydrogenase, C-terminal domain;PF03446-NAD binding domain of 6-phosphogluconate dehydrogenase",No
Potra2n15c28643,34.78115,3.995312548,6.61E-19,KNO3_2h_vs_KCL_2h,Upregulated,None available,0,AT5G62720-Integral membrane HPP family protein Integral membrane HPP family protein,0,PF04982-HPP family,No
Potra2n1c2895,153.9116899,4.155490431,6.58E-12,KNO3_2h_vs_KCL_2h,Upregulated,sp|A7N6K9|CLCA_VIBCB H(+)/Cl(-) exchange transporter ClcA OS=Vibrio campbellii (strain ATCC BAA-1116 / BB120) OX=338187 GN=clcA PE=3 SV=1,0,AT3G27170-chloride channel B chloride channel B,GO:0005247-voltage-gated chloride channel activity;GO:0016020-membrane;GO:0006821-chloride transport;GO:0055085-transmembrane transport,PF00654-Voltage gated chloride channel,No
Potra2n1c494,2689.701215,4.491956149,4.51E-130,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q24625|G6PD_DROSI Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Drosophila simulans OX=7240 GN=Zw PE=2 SV=1,1.1.1.49;1.1.1.49,AT5G13110-glucose-6-phosphate dehydrogenase 2 glucose-6-phosphate dehydrogenase 2,"GO:0004345-glucose-6-phosphate dehydrogenase activity;GO:0006006-glucose metabolic process;GO:0016614-oxidoreductase activity, acting on CH-OH group of donors;GO:0050661-NADP binding;GO:0055114-oxidation-reduction process","PF02781-Glucose-6-phosphate dehydrogenase, C-terminal domain;PF00479-Glucose-6-phosphate dehydrogenase, NAD binding domain",No
Potra2n9c19145,566.5610692,4.502362368,2.11E-75,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q9FK13|PDV1_ARATH Plastid division protein PDV1 OS=Arabidopsis thaliana OX=3702 GN=PDV1 PE=1 SV=1,0,AT2G16070-plastid division2 plastid division2,GO:0010020-chloroplast fission,0,No
Potra2n15c28480,82.5364355,4.732542491,1.86E-08,KNO3_2h_vs_KCL_2h,Upregulated,sp|P42432|NASA_BACSU Nitrate transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=nasA PE=2 SV=2,0,AT1G12940-nitrate transporter2.5 nitrate transporter2.5,GO:0055085-transmembrane transport;GO:0005887-integral component of plasma membrane,PF07690-Major Facilitator Superfamily,No
Potra2n14c27006,2683.245985,4.769270882,3.30E-47,KNO3_2h_vs_KCL_2h,Upregulated,sp|Q2YY67|TDCB_STAAB L-threonine dehydratase catabolic TdcB OS=Staphylococcus aureus (strain bovine RF122 / ET3-1) OX=273036 GN=tdcB PE=3 SV=2,2.5.1.47;2.5.1.47,AT3G61440-cysteine synthase C1 cysteine synthase C1,GO:0006535-cysteine biosynthetic process from serine;GO:0019499-cyanide metabolic process;GO:0050017-L-3-cyanoalanine synthase activity;GO:0004124-cysteine synthase activity;GO:0005739-mitochondrion,PF00291-Pyridoxal-phosphate dependent enzyme,No
